,SMILES,pIGC50_class
sample_584,c1ccc2sccc2c1,positive
sample_585,c1ccc2c(c1)Oc1ccccc1S2,positive
sample_586,CCCSc1ccccc1,positive
sample_587,C=CSc1ccccc1,positive
sample_588,C=CS(=O)c1ccccc1,negative
sample_589,CCS(=O)(=O)c1ccccc1,negative
sample_590,C=CCS(=O)(=O)c1ccccc1,positive
sample_591,C=CS(=O)(=O)c1ccccc1,positive
sample_592,CCCCc1ccc(N=C=S)cc1,positive
sample_593,S=C=Nc1cccc2ccccc12,positive
sample_594,CC(N=C=S)c1ccccc1,positive
sample_595,S=C=NC(c1ccccc1)c1ccccc1,positive
sample_596,S=C=NCCc1ccccc1,positive
sample_597,S=C=NCc1cccc2ccccc12,positive
sample_598,O=C(C=Cc1ccccc1)N=C=S,positive
sample_599,O=Cc1ccc(Br)cc1,positive
sample_600,Cc1ccc(C=O)cc1,negative
sample_601,O=Cc1ccc(F)cc1,negative
sample_602,O=Cc1ccc(C=O)cc1,negative
sample_603,COc1ccc(C=O)cc1,negative
sample_604,CCOc1ccc(C=O)cc1,negative
sample_605,Cc1ccccc1C=O,negative
sample_606,O=Cc1cccc(Cl)c1,positive
sample_607,O=Cc1cccc(Br)c1,positive
sample_608,O=Cc1cccc(F)c1,negative
sample_609,COc1ccc(C=O)c(OC)c1,negative
sample_610,O=Cc1ccccc1F,negative
sample_611,CCCCOc1ccc(C=O)cc1,positive
sample_612,O=Cc1c(Cl)cccc1[N+](=O)[O-],negative
sample_613,COc1ccc(C=O)c(Cl)c1O,negative
sample_614,Cc1ccc2ccccc2c1C=O,positive
sample_615,Cc1ccc(C=O)c2ccccc12,positive
sample_616,O=Cc1cc2ccccc2c2ccccc12,positive
sample_617,O=Cc1cccc(O)c1O,negative
sample_618,O=Cc1cc(O)ccc1O,positive
sample_619,O=Cc1ccc(O)c(O)c1,negative
sample_620,O=Cc1cc(O)c(O)c(O)c1,negative
sample_621,O=Cc1c(O)cc(O)cc1O,negative
sample_622,CCOc1cccc(C=O)c1O,positive
sample_623,COc1cccc(C=O)c1O,positive
sample_624,COc1cc(O)c(C=O)c(OC)c1,positive
sample_625,O=Cc1ccc(O)cc1Cl,positive
sample_626,O=Cc1c(O)ccc2ccccc12,positive
sample_627,O=Cc1ccc(O)c2ccccc12,positive
sample_628,O=Cc1ccc(O)c(Br)c1,positive
sample_629,Oc1c(Br)cc(Br)c(O)c1Br,positive
sample_630,O=C(c1ccccc1)c1ccc(O)cc1O,positive
sample_631,Oc1ccccc1O,positive
sample_632,O=[N+]([O-])c1ccc(O)c(O)c1,positive
sample_633,Oc1cccc(O)c1O,positive
sample_634,Oc1ccc(O)c(O)c1,positive
sample_635,Cc1cc(O)ccc1O,positive
sample_636,Cc1c(O)ccc(O)c1C,positive
sample_637,Cc1cc(O)c(C)c(C)c1O,positive
sample_638,Cc1c(C)c(O)c(C)c(C)c1O,positive
sample_639,Oc1ccc(O)c(Cl)c1,positive
sample_640,Oc1ccc(O)c(Br)c1,positive
sample_641,Oc1c(Cl)c(Cl)c(O)c(Cl)c1Cl,positive
sample_642,Oc1ccc(O)c(-c2ccccc2)c1,positive
sample_643,Oc1cc(Cl)c(O)cc1Cl,positive
sample_644,Oc1c(O)c(Br)c(Br)c(Br)c1Br,positive
sample_645,CCC(O)Cc1ccccc1,negative
sample_646,OCCCCCCc1ccccc1,positive
sample_647,OCCCCc1ccccc1,negative
sample_648,CCC(C)(O)c1ccccc1,negative
sample_649,CCCCCOc1ccc(N)cc1,positive
sample_650,CCCCCCOc1ccc(N)cc1,positive
sample_651,CC(C)c1ccc(N)cc1,negative
sample_652,CCCCc1ccc(N)cc1,positive
sample_653,BrCCc1ccccc1,positive
sample_654,Cc1ccccc1N,negative
sample_655,Nc1ccccc1,negative
sample_656,CSc1ccccc1,negative
sample_657,Cc1cc(C)c(C)c(O)c1,positive
sample_658,Cc1cc(C)c(O)c(C)c1,positive
sample_659,CCC(C)(C)c1ccc(O)cc1,positive
sample_660,Cc1ccc(C)c(O)c1C,positive
sample_661,CCOc1ccccc1,negative
sample_662,Cc1ccc(O)c(C)c1,negative
sample_663,C#CC(C)(O)c1ccccc1,negative
sample_664,Cc1ccc(O)cc1,negative
sample_665,CCCc1ccc(O)cc1,positive
sample_666,CCCCCCCCCc1ccc(O)cc1,positive
sample_667,Cc1cccc(O)c1,negative
sample_668,Cc1ccccc1C#N,negative
sample_669,Nc1ccccc1Cl,negative
sample_670,Cc1cc(O)cc(C)c1Cl,positive
sample_671,CCc1ccc(Br)cc1,positive
sample_672,Cc1cc(O)ccc1Cl,positive
sample_673,Oc1ccc(Cl)cc1,positive
sample_674,Clc1ccccc1,negative
sample_675,Cc1ccc([N+](=O)[O-])cc1C,positive
sample_676,CCOc1cc(C=O)ccc1O,negative
sample_677,CCC(=O)c1ccc(O)cc1,negative
sample_678,CCC(=O)c1ccccc1,negative
sample_679,O=Cc1ccccc1O,positive
sample_680,Nc1cc(Cl)ccc1Cl,positive
sample_681,Cc1ccc(Cl)c(Cl)c1,positive
sample_682,Clc1ccccc1Cl,positive
sample_683,COc1cccc([N+](=O)[O-])c1,positive
sample_684,COc1cc(O)cc(Cl)c1,positive
sample_685,Oc1ccc(Br)cc1Br,positive
sample_686,N#Cc1cc(Cl)ccc1N,positive
sample_687,O=C(c1ccccc1)c1ccc(Cl)cc1,positive
sample_688,Clc1ccc(Cl)c(Cl)c1,positive
sample_689,CCOc1ccc(N)c([N+](=O)[O-])c1,positive
sample_690,O=[N+]([O-])c1cccc(Br)c1,positive
sample_691,Nc1ccccc1[N+](=O)[O-],negative
sample_692,O=[N+]([O-])c1cc(F)cc(I)c1,positive
sample_693,O=[N+]([O-])c1ccccc1O,positive
sample_694,Nc1ccc([N+](=O)[O-])cc1Cl,positive
sample_695,O=[N+]([O-])c1ccc(F)cc1,negative
sample_696,O=[N+]([O-])c1ccccc1Br,positive
sample_697,O=[N+]([O-])c1ccc(Cl)cc1,positive
sample_698,Cc1cc(O)c([N+](=O)[O-])cc1Cl,positive
sample_699,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,positive
sample_700,Oc1c(Br)c(Br)c(Br)c(Br)c1Br,positive
sample_701,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,positive
sample_702,Nc1c(Cl)cc(Cl)cc1[N+](=O)[O-],positive
sample_703,O=[N+]([O-])c1ccc(CO)cc1[N+](=O)[O-],positive
sample_704,O=[N+]([O-])c1cccc(Cl)c1Cl,positive
sample_705,O=[N+]([O-])c1ccccc1[N+](=O)[O-],positive
sample_706,O=[N+]([O-])c1c(Cl)cc(Cl)cc1Cl,positive
sample_707,O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl,positive
sample_708,O=Cc1cc([N+](=O)[O-])ccc1Cl,positive
sample_709,O=[N+]([O-])c1c(Cl)c(Cl)cc(Cl)c1Cl,positive
sample_710,O=[N+]([O-])c1cc(Cl)c(Cl)c(Cl)c1Cl,positive
sample_711,Nc1c([N+](=O)[O-])cccc1[N+](=O)[O-],positive
sample_712,Nc1c(Cl)cc([N+](=O)[O-])cc1[N+](=O)[O-],positive
sample_713,Nc1c(Br)cc([N+](=O)[O-])cc1[N+](=O)[O-],positive
sample_714,CC(O)Cc1ccccc1,negative
sample_715,CC(C)c1ccc(CO)cc1,negative
sample_716,Cc1cccc(CO)c1,negative
sample_717,CC(N)c1ccccc1,negative
sample_718,CC(C)(O)Cc1ccccc1,negative
sample_719,CNCCc1ccccc1,negative
sample_720,CC(CN)c1ccccc1,negative
sample_721,OCCc1ccccc1,negative
sample_722,CCC(CO)c1ccccc1,negative
sample_723,Cc1cc(C)cc(N)c1,negative
sample_724,N#CCCCc1ccccc1,negative
sample_725,Cc1cc(C)c(N)c(C)c1,negative
sample_726,N#CCCc1ccccc1,negative
sample_727,Cc1ccc(C)c(N)c1,negative
sample_728,CC(C)c1ccccc1N,negative
sample_729,Cc1cccc(C)c1N,negative
sample_730,CCCc1ccccc1N,negative
sample_731,CC(C)(C)c1cc(O)cc(C(C)(C)C)c1,positive
sample_732,C#CCSc1ccccc1,positive
sample_733,CCOc1ccc(O)cc1,negative
sample_734,CCCCOc1ccc(O)cc1,positive
sample_735,c1ccc(-c2ccccn2)cc1,positive
sample_736,Cc1cc(C)cc(O)c1,negative
sample_737,Cc1ccc(C)c(O)c1,negative
sample_738,COc1cc(CO)ccc1O,negative
sample_739,Cc1c(N)cccc1O,negative
sample_740,Cc1cc(Cl)ccc1N,positive
sample_741,CC=Cc1ccc(O)c(OC)c1,positive
sample_742,Nc1cccc(I)c1,positive
sample_743,Oc1ccc(F)cc1,negative
sample_744,Nc1ccccc1I,positive
sample_745,Cc1cc(Cl)ccc1O,positive
sample_746,OCc1ccccc1Br,negative
sample_747,Oc1ccccc1F,negative
sample_748,CN(C)c1ccc(C=O)cc1,negative
sample_749,Cc1ccc(Cl)cc1N,positive
sample_750,Cc1ccc(N)cc1Cl,positive
sample_751,Cc1c(N)cccc1Cl,positive
sample_752,Cc1ccc(O)c(Br)c1,positive
sample_753,N#CCc1ccc(Br)cc1,positive
sample_754,Oc1ccc(Cl)c(O)c1,negative
sample_755,COc1ccc(C=O)cc1O,negative
sample_756,O=Cc1ccc(-c2ccccc2)cc1,positive
sample_757,C=C(C)C(=O)OCc1ccccc1,positive
sample_758,CC(=O)Nc1cccc(O)c1,negative
sample_759,N#Cc1ccc(C(N)=O)cc1,negative
sample_760,O=[N+]([O-])c1ccccc1-c1ccccc1,positive
sample_761,CCOC(=O)c1ccc(Br)cc1,positive
sample_762,O=C(Oc1ccccc1)c1ccc(O)cc1,positive
sample_763,COc1ccc(C(=O)c2ccccc2)c(O)c1,positive
sample_764,O=C(Oc1cccc(O)c1)c1ccccc1,positive
sample_765,O=C(c1ccc(Br)cc1)c1cccnc1,positive
sample_766,CC(=O)c1cccc([N+](=O)[O-])c1,positive
sample_767,O=Cc1cccc([N+](=O)[O-])c1,negative
sample_768,O=C1C=C(c2ccccc2)C(=O)C=C1c1ccccc1,positive
sample_769,COC(=O)c1cc(Cl)ccc1Cl,positive
sample_770,CC(=O)c1ccc(Cl)c(Cl)c1Cl,positive
sample_771,O=C(c1ccccc1O)c1ccccc1O,positive
sample_772,COC(=O)c1ccc([N+](=O)[O-])cc1,positive
sample_773,O=[N+]([O-])c1ccc(O)c(CCl)c1,positive
sample_774,COC(=O)c1ccc(C(=O)OC)c([N+](=O)[O-])c1,positive
sample_775,O=[N+]([O-])c1c(O)cccc1O,positive
sample_776,N#Cc1cc(Br)c(O)c(Br)c1,positive
sample_777,COC(=O)c1ccc(Cl)cc1[N+](=O)[O-],positive
sample_778,O=[N+]([O-])c1ccccc1F,negative
sample_779,O=Cc1ccc([N+](=O)[O-])c(O)c1,positive
sample_780,Nc1cc(F)c(F)cc1[N+](=O)[O-],positive
sample_781,CCCO,negative
sample_782,CC(C)O,negative
sample_783,CCCCO,negative
sample_784,CC(C)CO,negative
sample_785,CCC(C)(C)O,negative
sample_786,CC(C)CCO,negative
sample_787,CC(C)(C)O,negative
sample_788,CC(C)CCCO,negative
sample_789,CCCCCCCO,negative
sample_790,CCCC(CO)CCC,negative
sample_791,CCCCCCCCCCO,positive
sample_792,CCCCCCC(O)CCC,positive
sample_793,CCC(C)(O)CCCC(C)C,positive
sample_794,CCCCCCCCCCCCCO,positive
sample_795,CCC(O)CO,negative
sample_796,CC(O)CCO,negative
sample_797,OCCCCO,negative
sample_798,CC(C)(O)C#CC(C)(C)O,negative
sample_799,C#CC(C)(O)CC(C)C,negative
sample_800,C#CCCO,negative
sample_801,CC#CCCO,negative
sample_802,C#CCC(C)O,negative
sample_803,C#CCC(O)CC,negative
sample_804,CCC#CCC(C)O,negative
sample_805,CCCCC#CCCO,negative
sample_806,CCC#CCC(O)CC,negative
sample_807,CCCCCC#CCCO,positive
sample_808,CCCCCCCCCCC#CCCO,positive
sample_809,CC=CCO,negative
sample_810,CCCCC=CCO,negative
sample_811,CCCCCC=CCO,positive
sample_812,CCCCCCCC=CCO,positive
sample_813,CCOC(C)=O,negative
sample_814,CCCCOC(C)=O,negative
sample_815,CCCCCCOC(C)=O,negative
sample_816,CCCCCCCCCCOC(C)=O,positive
sample_817,CCOC(=O)CC,negative
sample_818,CCOC(=O)C(C)C,negative
sample_819,CCCCC(=O)OCCC,negative
sample_820,CCCOC=O,negative
sample_821,CC(C)COC=O,negative
sample_822,CCCCCCOC=O,negative
sample_823,C=CCOC(=O)CCC,negative
sample_824,C=CCOC(=O)CCCCC,negative
sample_825,C#CCOC(C)=O,negative
sample_826,CC=CCC(=O)OC,negative
sample_827,CC(C)=O,negative
sample_828,CCC(C)=O,negative
sample_829,CCCC(C)=O,negative
sample_830,CCC(=O)CC,negative
sample_831,CCCCC(C)=O,negative
sample_832,CC(=O)CCC(C)C,negative
sample_833,CCCCCCCC(C)=O,positive
sample_834,CCCCCCCCCCCC(C)=O,positive
sample_835,CC#N,negative
sample_836,CC(C)C#N,negative
sample_837,CC(C)(C)C#N,negative
sample_838,CCCCCCC#N,negative
sample_839,CCCCCCCC#N,positive
sample_840,CCCCCCCCCCCC#N,positive
sample_841,C=CCC#N,negative
sample_842,CC=CCC#N,negative
sample_843,CCCCCCBr,positive
sample_844,CCCCCCCBr,positive
sample_845,SCCCCCCS,positive
sample_846,SCCCCCCCCS,positive
sample_847,CCCS(=O)CCC,negative
sample_848,CCCCS(=O)(=O)CCCC,negative
sample_849,CC=NO,negative
sample_850,CCC(C)=NO,negative
sample_851,ON=C1CCCCC1,negative
sample_852,CCOC(=O)CC(=O)OCC,negative
sample_853,COC(=O)CCC(=O)OC,negative
sample_854,CCOC(=O)CCCCC(=O)OCC,negative
sample_855,COC(=O)CCCCCCCCC(=O)OC,positive
sample_856,CCOC(=O)CCCCCC(=O)OCC,positive
sample_857,CCCCOC(=O)CCCCCCC(=O)OCCCC,positive
sample_858,CCOC(=O)C(C(=O)OCC)=C(C)C,negative
sample_859,CCOC(=O)C(C)C(=O)OCC,negative
sample_860,CCCCCC(=O)O,negative
sample_861,O=C(O)CC(=O)O,negative
sample_862,CCC=O,negative
sample_863,CCCC=O,negative
sample_864,CCCCCC=O,negative
sample_865,CCC(C=O)CC,negative
sample_866,CCCCCCC=O,negative
sample_867,CCCCCCCCC=O,positive
sample_868,CCCCCCCCCC=O,positive
sample_869,CCCCCC=CCCC=O,positive
sample_870,CCC=CCCCCCC=O,positive
sample_871,CC1CCC(=O)O1,negative
sample_872,CC1CCOC1=O,negative
sample_873,CCCCC1CCC(=O)O1,negative
sample_874,CCCCCC1CCCC(=O)O1,negative
sample_875,C#CCO,negative
sample_876,OCC#CCO,negative
sample_877,C#CC(O)CC,negative
sample_878,CCCC#CCO,negative
sample_879,CC#CC(O)CC,negative
sample_880,CCC#CC(O)CC,negative
sample_881,CCCCCC#CCO,negative
sample_882,CCC#CC(O)CC(C)C,positive
sample_883,OCCBr,negative
sample_884,OCCCBr,negative
sample_885,OCCCCl,negative
sample_886,OCCCCCl,negative
sample_887,CC(C)(CO)CCl,negative
sample_888,OCC(Cl)Cl,negative
sample_889,OC(CCl)CCl,negative
sample_890,OCCCCCCCCCl,positive
sample_891,OCC(Br)(Br)Br,negative
sample_892,CC(=O)OCCCCCBr,positive
sample_893,CCOC(=O)CCBr,negative
sample_894,CCOC(=O)CCCBr,negative
sample_895,N#CCCCBr,negative
sample_896,N#CCCCCl,negative
sample_897,N#CCCCCCl,negative
sample_898,N#CCCCCCCCl,positive
sample_899,O=C(O)CCCCBr,negative
sample_900,O=C(O)CCCCCCCBr,positive
sample_901,O=C(O)CCCCCBr,negative
sample_902,CCC(Br)C(=O)O,negative
sample_903,CC(C)(Br)C(=O)O,negative
sample_904,CCCC(Br)C(=O)O,negative
sample_905,CCCCCCC(Br)C(=O)O,positive
sample_906,N#CCCC#N,negative
sample_907,N#CCCCC#N,negative
sample_908,O=C1CCCC(=O)C1,negative
sample_909,CC(=O)CCC(C)=O,negative
sample_910,NCCCCO,negative
sample_911,NCCCCCO,negative
sample_912,CCCNCCO,negative
sample_913,CCN(CC)CCO,negative
sample_914,OCCNCCO,negative
sample_915,NCC(O)CN,negative
sample_916,NC(CO)CO,negative
sample_917,CNCC(O)CO,negative
sample_918,CCCCCN,negative
sample_919,CCCCNC,negative
sample_920,CCCCCCN,negative
sample_921,CC(C)CN,negative
sample_922,CCN(C)C,negative
sample_923,CC(C)CCN,negative
sample_924,CCN(C)CC,negative
sample_925,C#CC(C)(C)N,negative
sample_926,COCCN,negative
sample_927,CCOCCCN,negative
sample_928,NCCCN,negative
sample_929,CCCCC(=O)O,negative
sample_930,CCCCCC(=O)O,negative
sample_931,CC(C)CCC(=O)O,negative
sample_932,CCCCC(CC)C(=O)O,negative
sample_933,O=C(O)CCCCC(=O)O,negative
sample_934,CC(C)(CC(=O)O)CC(=O)O,negative
sample_935,O=C(O)CCCCCCC(=O)O,negative
sample_936,O=C(O)CCCCCCCCCCC(=O)O,negative
sample_937,CCCCCC=CC(=O)O,negative
sample_938,CCCCCCC=CC(=O)O,positive
sample_939,CCCCCN=C=S,positive
sample_940,C=CCN=C=S,positive
sample_941,CCC(Br)C(=O)OC,positive
sample_942,CCOC(=O)C(Br)CC,positive
sample_943,CCOC(=O)C(Br)C(C)C,negative
sample_944,CCCCCCC(Br)C(=O)OCC,positive
sample_945,CC(C)(C)C(=O)CBr,positive
sample_946,CC(=O)C(Cl)C(C)=O,positive
sample_947,O=C(CBr)C(=O)CBr,positive
sample_948,CC(Br)C#N,positive
sample_949,c1csc(-c2cccs2)c1,positive
sample_950,CS(C)(=O)=O,negative
sample_951,CCS(=O)(=O)CC,negative
sample_952,C=CS(C)(=O)=O,positive
sample_953,CCSc1ccccc1,positive
sample_954,C=CCSc1ccccc1,positive
sample_955,Cc1cccc(C)c1N=C=S,positive
sample_956,Cc1cc(C)cc(N=C=S)c1,positive
sample_957,S=C=Nc1ccc2c(c1)CCC2,positive
sample_958,S=C=Nc1ccc(N=C=S)cc1,positive
sample_959,S=C=NCCCc1ccccc1,positive
sample_960,O=Cc1cccc2ccccc12,positive
sample_961,CCc1ccc(C=O)cc1,positive
sample_962,Cc1cccc(C=O)c1,negative
sample_963,O=Cc1ccccc1Br,positive
sample_964,N#Cc1cccc(C=O)c1,negative
sample_965,O=Cc1ccc2c(c1)Cc1ccccc1-2,positive
sample_966,COc1cc(C=O)cc(O)c1OC,negative
sample_967,O=Cc1ccc(O)c(O)c1O,negative
sample_968,O=Cc1ccc(O)cc1O,positive
sample_969,O=Cc1cccc([N+](=O)[O-])c1O,positive
sample_970,O=Cc1ccc(O)cc1,positive
sample_971,O=Cc1cc(Br)ccc1O,positive
sample_972,O=Cc1cc(Cl)ccc1O,positive
sample_973,O=Cc1cc(Br)c(O)c(Br)c1,positive
sample_974,Oc1cc(O)cc(O)c1,negative
sample_975,Oc1cc(O)c(Cl)cc1Cl,positive
sample_976,Cc1cccc(O)c1O,positive
sample_977,Cc1ccc(O)c(O)c1,positive
sample_978,Oc1ccc(Cl)cc1O,positive
sample_979,O=C(c1ccccc1)c1ccc(O)c(O)c1O,positive
sample_980,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c(O)c1O,positive
sample_981,Oc1ccc(O)cc1,positive
sample_982,Oc1c(F)c(F)c(O)c(F)c1F,positive
sample_983,Oc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,positive
sample_984,OCc1cccc(O)c1,negative
sample_985,COc1cc(CN)ccc1O,negative
sample_986,NC(=O)c1ccc(N)cc1,negative
sample_987,NC(=O)c1ccccc1,negative
sample_988,OCCOc1cccc(O)c1,negative
sample_989,CC(=O)Nc1ccc(O)cc1,negative
sample_990,NC(=O)c1ccc(O)cc1,negative
sample_991,Cc1cc(O)cc(O)c1,negative
sample_992,N#Cc1ccccc1C#N,negative
sample_993,NC(=O)c1cc(Cl)ccc1[N+](=O)[O-],negative
sample_994,CC(=O)Oc1ccccc1,negative
sample_995,CC(=O)Nc1ccc(C=O)cc1,negative
sample_996,COC(=O)COc1ccccc1,negative
sample_997,NC(=O)c1cccc([N+](=O)[O-])c1,negative
sample_998,O=[N+]([O-])c1ccccc1CO,negative
sample_999,COC(=O)c1cc(O)cc(O)c1,negative
sample_1000,CC(=O)c1ccc(O)c(C(N)=O)c1,negative
sample_1001,N#Cc1cccc(O)c1,negative
sample_1002,COC(=O)c1ccc(C#N)cc1,negative
sample_1003,COc1cccc(C#N)c1,negative
sample_1004,CC(CCO)c1ccccc1,negative
sample_1005,N#Cc1ccccc1O,negative
sample_1006,N#Cc1ccc(C=O)cc1,negative
sample_1007,O=Cc1cccc(O)c1,negative
sample_1008,NC(=O)c1ccc(Cl)cc1,negative
sample_1009,CN(C)Cc1ccccc1,negative
sample_1010,Cc1ccc(Cl)c(N)c1,negative
sample_1011,O=[N+]([O-])c1cccc(F)c1,negative
sample_1012,COc1cccc(C=O)c1,negative
sample_1013,ON=Cc1ccccc1O,positive
sample_1014,O=[N+]([O-])c1ccc(O)cc1[N+](=O)[O-],positive
sample_1015,CCN(C)c1ccccc1,positive
sample_1016,COC(=O)c1ccc(C=O)cc1,positive
sample_1017,OCc1ccccc1I,positive
sample_1018,Cc1ccc(N)c([N+](=O)[O-])c1,positive
sample_1019,CCOC(=O)c1ccc(C#N)cc1,positive
sample_1020,O=[N+]([O-])c1ccc(Br)cc1,positive
sample_1021,O=[N+]([O-])c1cccc(O)c1[N+](=O)[O-],positive
sample_1022,Cc1cc([N+](=O)[O-])ccc1N,positive
sample_1023,O=Cc1ccccc1Cl,positive
sample_1024,NC(=O)c1cc([N+](=O)[O-])c(N)c([N+](=O)[O-])c1,positive
sample_1025,O=[N+]([O-])c1cc(CO)cc([N+](=O)[O-])c1,positive
sample_1026,COc1ccc([N+](=O)[O-])cc1,positive
sample_1027,N#Cc1ccc([N+](=O)[O-])cc1,positive
sample_1028,CCOc1ccc(C(=O)OC)cc1,positive
sample_1029,Nc1cc([N+](=O)[O-])ccc1Cl,positive
sample_1030,O=[N+]([O-])c1cc(Cl)c(O)c(Cl)c1,positive
sample_1031,CCN(CC)c1ccccc1,positive
sample_1032,c1ccc(Cc2cccnc2)cc1,positive
sample_1033,Cc1ccc(Cl)c(N)c1Cl,positive
sample_1034,Cc1ccc(O)cc1[N+](=O)[O-],positive
sample_1035,Cc1c(O)cccc1[N+](=O)[O-],positive
sample_1036,Cc1ccc(C)c(C)c1,positive
sample_1037,O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl,positive
sample_1038,O=C(CBr)Nc1cc([N+](=O)[O-])ccc1O,positive
sample_1039,Nc1c(Br)cccc1Br,positive
sample_1040,O=[N+]([O-])c1ccc(O)cc1F,positive
sample_1041,Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,positive
sample_1042,COc1c(F)cc(Br)cc1[N+](=O)[O-],positive
sample_1043,O=[N+]([O-])c1ccc([N+](=O)[O-])c(O)c1,positive
sample_1044,O=[N+]([O-])c1ccc(F)cc1O,positive
sample_1045,Nc1c([N+](=O)[O-])cc(Cl)cc1[N+](=O)[O-],positive
sample_1046,O=[N+]([O-])c1ccc(O)c(Cl)c1,positive
sample_1047,O=Cc1ccc(Cl)c([N+](=O)[O-])c1,positive
sample_1048,Nc1cc([N+](=O)[O-])cc(Cl)c1O,positive
sample_1049,N#Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,positive
sample_1050,Cc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,positive
sample_1051,O=[N+]([O-])c1cc(Br)c(O)c(Br)c1,positive
sample_1052,CCCCCOC(=O)c1ccccc1,positive
sample_1053,CC(C)(C)c1cc(N)cc(C(C)(C)C)c1,positive
sample_1054,Nc1c(Br)cc(Cl)cc1Br,positive
sample_1055,Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,positive
sample_1056,CCOC(=O)c1ccc(I)cc1,positive
sample_1057,O=[N+]([O-])c1cc(Cl)c(Cl)c(Cl)c1,positive
sample_1058,Oc1ccc(C2CCCCC2)cc1,positive
sample_1059,O=[N+]([O-])c1cccc(-c2ccccc2)c1,positive
sample_1060,C=COC(=O)c1ccc(C(C)(C)C)cc1,positive
sample_1061,O=[N+]([O-])c1cc(Br)cc(F)c1O,positive
sample_1062,Cc1ccc(-c2ccccc2)cc1,positive
sample_1063,Nc1cc(F)c([N+](=O)[O-])cc1[N+](=O)[O-],positive
sample_1064,N#Cc1ccc(Cl)c([N+](=O)[O-])c1,positive
sample_1065,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,positive
sample_1066,O=[N+]([O-])c1cc(Cl)ccc1O,positive
sample_1067,Oc1c(Br)cc(Br)cc1-c1ccccc1,positive
sample_1068,Cc1cc(Cl)c([N+](=O)[O-])cc1[N+](=O)[O-],positive
sample_1069,O=Cc1cc(I)cc(I)c1O,positive
sample_1070,CCCCCCCCCOC(=O)c1ccc(O)cc1,positive
sample_1071,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)cc1Cl,positive
sample_1072,NC(=O)COc1ccccc1,negative
sample_1073,N=C(N)NC(=N)Nc1ccccc1,negative
sample_1074,NC(=O)Oc1ccccc1,negative
sample_1075,O=C1CCC(c2ccccc2)O1,negative
sample_1076,O=C(NO)c1ccccc1,positive
sample_1077,CC(=O)CC(=O)c1ccccc1,positive
sample_1078,NC(=S)Nc1ccccc1,positive
sample_1079,NCCCCc1ccccc1,positive
sample_1080,O=Nc1ccc(O)cc1,positive
sample_1081,O=CC=Cc1ccccc1,positive
sample_1082,CCOC(=O)C(Cc1ccccc1)C(=O)OCC,positive
sample_1083,N#CSCc1ccccc1,positive
sample_1084,C=CC(=O)OCc1ccccc1,positive
sample_1085,O=C(C=Cc1ccccc1)c1ccccc1,positive
sample_1086,CCOC(=O)C#Cc1ccccc1,positive
sample_1087,O=CC(Cl)=Cc1ccccc1,positive
sample_1088,O=C(CBr)Oc1ccc([N+](=O)[O-])cc1,positive
sample_1089,O=CC#Cc1ccccc1,positive
sample_1090,O=[N+]([O-])c1cc(N=C=S)ccc1Cl,positive
sample_1091,O=[N+]([O-])c1ccc(CBr)cc1,positive
sample_1092,N#Cc1c(F)c(F)c(C#N)c(F)c1F,positive
sample_1093,S=C=NCc1ccccc1,positive
sample_1094,COc1cccc(O)c1O,positive
sample_1095,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,positive
sample_1096,CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,positive
sample_1097,Oc1cc(Cl)cc(Cl)c1O,positive
sample_1098,Oc1cc(Br)c(O)cc1Br,positive
sample_1099,Oc1c(Br)cccc1Br,positive
sample_1100,CCN(CC)c1cccc(O)c1,positive
sample_1101,Cc1cc([N+](=O)[O-])ccc1O,positive
sample_1102,Oc1ccc(Cl)c(Cl)c1Cl,positive
sample_1103,CC(=O)c1cc(Br)ccc1O,positive
sample_1104,N#Cc1ccc(O)cc1Cl,positive
sample_1105,COc1cc(O)cc(OC)c1O,positive
sample_1106,O=[N+]([O-])c1cccc(Br)c1O,positive
sample_1107,CCCOC(=O)c1ccc(O)cc1,positive
sample_1108,Oc1cccc(F)c1O,positive
sample_1109,COC(=O)c1cc(O)ccc1O,positive
sample_1110,Nc1cc([N+](=O)[O-])ccc1Cl,positive
sample_1111,Nc1c([N+](=O)[O-])cc(Cl)cc1[N+](=O)[O-],positive
sample_1112,Cc1cc(O)ccc1N,positive
sample_1113,O=S=Nc1ccccc1,positive
sample_1114,Cc1ccc(N)cc1O,negative
sample_1115,Nc1cc(O)ccc1Cl,negative
sample_1116,Nc1ccc(O)c(Cl)c1,positive
sample_1117,Cc1c(Cl)cc(N)c(O)c1Cl,positive
