,y,x1,x2,x3,x4,x5
sample_2501,0.158,0.592,0.495,0.507,0.769,0.798
sample_2502,0.158,0.593,0.508,0.513,0.791,0.794
sample_2503,0.158,0.593,0.521,0.525,0.777,0.789
sample_2504,0.158,0.592,0.519,0.534,0.743,0.789
sample_2505,0.158,0.592,0.509,0.545,0.7,0.792
sample_2506,0.158,0.591,0.498,0.553,0.724,0.793
sample_2507,0.158,0.589,0.503,0.557,0.77,0.795
sample_2508,0.158,0.585,0.523,0.554,0.751,0.798
sample_2509,0.158,0.582,0.517,0.539,0.724,0.796
sample_2510,0.158,0.581,0.51,0.528,0.722,0.796
sample_2511,0.158,0.585,0.511,0.519,0.732,0.797
sample_2512,0.158,0.588,0.507,0.524,0.71,0.799
sample_2513,0.158,0.591,0.51,0.535,0.746,0.799
sample_2514,0.158,0.594,0.498,0.541,0.794,0.801
sample_2515,0.158,0.6,0.501,0.543,0.763,0.795
sample_2516,0.158,0.603,0.511,0.533,0.744,0.791
sample_2517,0.158,0.601,0.508,0.531,0.749,0.789
sample_2518,0.158,0.597,0.493,0.535,0.747,0.796
sample_2519,0.158,0.591,0.512,0.537,0.741,0.793
sample_2520,0.158,0.59,0.521,0.548,0.743,0.793
sample_2521,0.116,0.595,0.52,0.557,0.748,0.798
sample_2522,0.116,0.597,0.521,0.563,0.715,0.797
sample_2523,0.116,0.596,0.522,0.57,0.685,0.793
sample_2524,0.116,0.595,0.511,0.574,0.696,0.791
sample_2525,0.116,0.595,0.501,0.57,0.707,0.797
sample_2526,0.116,0.592,0.503,0.556,0.759,0.801
sample_2527,0.116,0.591,0.507,0.533,0.77,0.804
sample_2528,0.116,0.595,0.519,0.508,0.725,0.802
sample_2529,0.116,0.599,0.533,0.501,0.693,0.795
sample_2530,0.116,0.6,0.532,0.508,0.661,0.788
sample_2531,0.116,0.599,0.526,0.51,0.683,0.788
sample_2532,0.116,0.598,0.507,0.51,0.728,0.797
sample_2533,0.116,0.598,0.501,0.503,0.732,0.802
sample_2534,0.116,0.599,0.507,0.502,0.708,0.804
sample_2535,0.116,0.6,0.491,0.505,0.709,0.801
sample_2536,0.116,0.6,0.502,0.5,0.737,0.791
sample_2537,0.116,0.601,0.513,0.5,0.689,0.797
sample_2538,0.116,0.599,0.504,0.5,0.728,0.804
sample_2539,0.116,0.595,0.502,0.499,0.739,0.807
sample_2540,0.116,0.59,0.501,0.499,0.701,0.803
sample_2541,0.231,0.584,0.518,0.495,0.725,0.789
sample_2542,0.231,0.581,0.532,0.483,0.718,0.783
sample_2543,0.231,0.585,0.517,0.471,0.742,0.793
sample_2544,0.231,0.583,0.498,0.465,0.738,0.801
sample_2545,0.231,0.473,0.449,0.446,0.757,0.8
sample_2546,0.231,0.352,0.387,0.421,0.775,0.799
sample_2547,0.231,0.353,0.353,0.4,0.738,0.81
sample_2548,0.231,0.358,0.343,0.377,0.768,0.812
sample_2549,0.231,0.366,0.369,0.366,0.776,0.795
sample_2550,0.231,0.375,0.369,0.365,0.782,0.789
sample_2551,0.231,0.378,0.347,0.375,0.77,0.793
sample_2552,0.231,0.378,0.344,0.387,0.755,0.794
sample_2553,0.231,0.378,0.362,0.394,0.73,0.786
sample_2554,0.231,0.378,0.348,0.397,0.722,0.787
sample_2555,0.231,0.376,0.349,0.407,0.753,0.79
sample_2556,0.231,0.372,0.357,0.42,0.74,0.79
sample_2557,0.231,0.37,0.34,0.424,0.766,0.792
sample_2558,0.231,0.371,0.317,0.418,0.761,0.799
sample_2559,0.231,0.372,0.319,0.413,0.753,0.801
sample_2560,0.231,0.373,0.343,0.408,0.776,0.798
sample_2561,0.117,0.373,0.363,0.409,0.748,0.796
sample_2562,0.117,0.373,0.35,0.412,0.761,0.798
sample_2563,0.117,0.375,0.325,0.417,0.745,0.797
sample_2564,0.117,0.379,0.337,0.423,0.732,0.794
sample_2565,0.117,0.383,0.354,0.425,0.734,0.794
sample_2566,0.117,0.386,0.341,0.428,0.719,0.797
sample_2567,0.117,0.392,0.342,0.421,0.734,0.795
sample_2568,0.117,0.397,0.338,0.422,0.715,0.795
sample_2569,0.117,0.4,0.328,0.434,0.732,0.794
sample_2570,0.117,0.404,0.346,0.435,0.744,0.791
sample_2571,0.117,0.406,0.358,0.436,0.718,0.79
sample_2572,0.117,0.405,0.357,0.448,0.749,0.788
sample_2573,0.117,0.4,0.364,0.464,0.741,0.785
sample_2574,0.117,0.396,0.359,0.465,0.717,0.791
sample_2575,0.117,0.392,0.352,0.47,0.726,0.795
sample_2576,0.117,0.387,0.351,0.482,0.731,0.792
sample_2577,0.117,0.383,0.347,0.483,0.744,0.793
sample_2578,0.117,0.378,0.332,0.472,0.735,0.799
sample_2579,0.117,0.379,0.311,0.46,0.734,0.804
sample_2580,0.117,0.38,0.303,0.454,0.715,0.806
sample_2581,0.176,0.379,0.318,0.444,0.718,0.805
sample_2582,0.176,0.381,0.322,0.447,0.768,0.803
sample_2583,0.176,0.384,0.334,0.447,0.753,0.793
sample_2584,0.176,0.386,0.354,0.443,0.73,0.789
sample_2585,0.176,0.385,0.355,0.445,0.723,0.79
sample_2586,0.176,0.384,0.339,0.443,0.725,0.791
sample_2587,0.176,0.385,0.339,0.449,0.74,0.793
sample_2588,0.176,0.386,0.358,0.455,0.723,0.788
sample_2589,0.176,0.387,0.356,0.456,0.734,0.787
sample_2590,0.176,0.388,0.345,0.457,0.724,0.793
sample_2591,0.176,0.389,0.35,0.456,0.734,0.794
sample_2592,0.176,0.389,0.346,0.456,0.742,0.794
sample_2593,0.176,0.39,0.324,0.459,0.729,0.797
sample_2594,0.176,0.392,0.328,0.461,0.759,0.798
sample_2595,0.176,0.393,0.342,0.457,0.726,0.795
sample_2596,0.176,0.392,0.349,0.458,0.706,0.793
sample_2597,0.176,0.393,0.347,0.464,0.732,0.792
sample_2598,0.176,0.393,0.357,0.466,0.717,0.785
sample_2599,0.176,0.392,0.338,0.468,0.742,0.792
sample_2600,0.176,0.39,0.324,0.472,0.735,0.797
sample_2601,0.159,0.384,0.326,0.472,0.715,0.796
sample_2602,0.159,0.38,0.341,0.466,0.726,0.798
sample_2603,0.159,0.377,0.338,0.46,0.756,0.805
sample_2604,0.159,0.375,0.332,0.458,0.804,0.806
sample_2605,0.159,0.378,0.359,0.458,0.755,0.795
sample_2606,0.159,0.381,0.35,0.46,0.719,0.796
sample_2607,0.159,0.384,0.325,0.459,0.736,0.799
sample_2608,0.159,0.388,0.332,0.457,0.729,0.796
sample_2609,0.159,0.391,0.351,0.456,0.729,0.793
sample_2610,0.159,0.397,0.336,0.455,0.73,0.798
sample_2611,0.159,0.406,0.324,0.467,0.746,0.798
sample_2612,0.159,0.411,0.34,0.479,0.741,0.788
sample_2613,0.159,0.409,0.356,0.487,0.734,0.783
sample_2614,0.159,0.405,0.359,0.497,0.716,0.783
sample_2615,0.159,0.401,0.357,0.502,0.705,0.786
sample_2616,0.159,0.394,0.352,0.501,0.722,0.793
sample_2617,0.159,0.387,0.333,0.497,0.713,0.802
sample_2618,0.159,0.386,0.325,0.502,0.734,0.801
sample_2619,0.159,0.385,0.348,0.493,0.732,0.795
sample_2620,0.159,0.385,0.344,0.481,0.738,0.796
sample_2621,0.191,0.389,0.331,0.475,0.746,0.799
sample_2622,0.191,0.391,0.328,0.474,0.741,0.799
sample_2623,0.191,0.389,0.321,0.477,0.739,0.8
sample_2624,0.191,0.383,0.324,0.474,0.73,0.801
sample_2625,0.191,0.382,0.323,0.477,0.712,0.804
sample_2626,0.191,0.386,0.33,0.474,0.714,0.805
sample_2627,0.191,0.386,0.348,0.47,0.723,0.796
sample_2628,0.191,0.384,0.358,0.469,0.726,0.792
sample_2629,0.191,0.386,0.342,0.469,0.76,0.795
sample_2630,0.191,0.383,0.335,0.471,0.758,0.795
sample_2631,0.191,0.379,0.352,0.476,0.734,0.787
sample_2632,0.191,0.379,0.345,0.474,0.748,0.79
sample_2633,0.191,0.379,0.346,0.471,0.733,0.792
sample_2634,0.191,0.379,0.339,0.477,0.729,0.793
sample_2635,0.191,0.378,0.327,0.472,0.752,0.798
sample_2636,0.191,0.379,0.345,0.466,0.722,0.795
sample_2637,0.191,0.381,0.337,0.471,0.754,0.794
sample_2638,0.191,0.379,0.333,0.467,0.751,0.794
sample_2639,0.191,0.376,0.346,0.459,0.684,0.795
sample_2640,0.191,0.376,0.351,0.463,0.701,0.796
sample_2641,0.181,0.378,0.356,0.468,0.716,0.793
sample_2642,0.181,0.382,0.354,0.468,0.714,0.794
sample_2643,0.181,0.386,0.355,0.469,0.71,0.792
sample_2644,0.181,0.386,0.353,0.462,0.709,0.791
sample_2645,0.181,0.385,0.34,0.454,0.723,0.797
sample_2646,0.181,0.387,0.326,0.454,0.72,0.802
sample_2647,0.181,0.39,0.321,0.458,0.723,0.801
sample_2648,0.181,0.389,0.321,0.46,0.743,0.796
sample_2649,0.181,0.389,0.324,0.461,0.725,0.799
sample_2650,0.181,0.388,0.323,0.461,0.71,0.804
sample_2651,0.181,0.388,0.323,0.458,0.713,0.804
sample_2652,0.181,0.387,0.326,0.455,0.697,0.801
sample_2653,0.181,0.39,0.338,0.455,0.738,0.793
sample_2654,0.181,0.396,0.353,0.444,0.738,0.792
sample_2655,0.181,0.399,0.357,0.432,0.712,0.797
sample_2656,0.181,0.4,0.358,0.43,0.717,0.798
sample_2657,0.181,0.403,0.348,0.436,0.716,0.8
sample_2658,0.181,0.405,0.337,0.442,0.736,0.8
sample_2659,0.181,0.405,0.337,0.438,0.721,0.798
sample_2660,0.181,0.404,0.348,0.441,0.704,0.798
sample_2661,0.172,0.404,0.35,0.448,0.731,0.793
sample_2662,0.172,0.403,0.333,0.448,0.745,0.791
sample_2663,0.172,0.402,0.323,0.444,0.726,0.8
sample_2664,0.172,0.401,0.328,0.441,0.705,0.798
sample_2665,0.172,0.399,0.334,0.449,0.705,0.794
sample_2666,0.172,0.398,0.332,0.456,0.729,0.797
sample_2667,0.172,0.397,0.326,0.457,0.734,0.799
sample_2668,0.172,0.397,0.341,0.454,0.728,0.796
sample_2669,0.172,0.397,0.357,0.452,0.727,0.792
sample_2670,0.172,0.397,0.356,0.451,0.735,0.788
sample_2671,0.172,0.398,0.349,0.445,0.731,0.793
sample_2672,0.172,0.396,0.345,0.442,0.734,0.798
sample_2673,0.172,0.392,0.341,0.45,0.718,0.796
sample_2674,0.172,0.388,0.326,0.451,0.741,0.8
sample_2675,0.172,0.382,0.321,0.446,0.75,0.804
sample_2676,0.172,0.38,0.321,0.432,0.742,0.806
sample_2677,0.172,0.384,0.33,0.42,0.735,0.801
sample_2678,0.172,0.387,0.348,0.417,0.723,0.796
sample_2679,0.172,0.391,0.352,0.424,0.707,0.796
sample_2680,0.172,0.391,0.352,0.43,0.726,0.794
sample_2681,0.165,0.388,0.352,0.429,0.73,0.793
sample_2682,0.165,0.389,0.339,0.426,0.715,0.796
sample_2683,0.165,0.39,0.328,0.425,0.742,0.797
sample_2684,0.165,0.385,0.337,0.427,0.722,0.792
sample_2685,0.165,0.383,0.345,0.418,0.702,0.789
sample_2686,0.165,0.382,0.351,0.414,0.713,0.787
sample_2687,0.165,0.38,0.353,0.409,0.753,0.79
sample_2688,0.165,0.38,0.339,0.406,0.779,0.794
sample_2689,0.165,0.381,0.339,0.405,0.763,0.794
sample_2690,0.165,0.382,0.351,0.415,0.747,0.787
sample_2691,0.165,0.384,0.355,0.428,0.757,0.782
sample_2692,0.165,0.386,0.362,0.431,0.738,0.784
sample_2693,0.165,0.387,0.36,0.432,0.704,0.787
sample_2694,0.165,0.39,0.357,0.43,0.72,0.787
sample_2695,0.165,0.39,0.358,0.437,0.736,0.789
sample_2696,0.165,0.386,0.358,0.445,0.729,0.788
sample_2697,0.165,0.378,0.353,0.448,0.737,0.794
sample_2698,0.165,0.374,0.338,0.452,0.752,0.801
sample_2699,0.165,0.371,0.343,0.449,0.764,0.793
sample_2700,0.165,0.369,0.359,0.437,0.742,0.792
sample_2701,0.181,0.37,0.359,0.43,0.721,0.794
sample_2702,0.181,0.37,0.364,0.431,0.705,0.789
sample_2703,0.181,0.368,0.348,0.429,0.723,0.793
sample_2704,0.181,0.366,0.338,0.426,0.75,0.796
sample_2705,0.181,0.364,0.357,0.423,0.735,0.791
sample_2706,0.181,0.362,0.361,0.419,0.718,0.788
sample_2707,0.181,0.362,0.364,0.419,0.738,0.791
sample_2708,0.181,0.366,0.344,0.422,0.74,0.797
sample_2709,0.181,0.369,0.324,0.425,0.723,0.798
sample_2710,0.181,0.368,0.327,0.427,0.761,0.793
sample_2711,0.181,0.368,0.337,0.424,0.782,0.798
sample_2712,0.181,0.368,0.355,0.42,0.74,0.795
sample_2713,0.181,0.369,0.352,0.419,0.74,0.792
sample_2714,0.181,0.371,0.326,0.417,0.75,0.799
sample_2715,0.181,0.37,0.318,0.415,0.744,0.801
sample_2716,0.181,0.367,0.336,0.42,0.749,0.795
sample_2717,0.181,0.367,0.356,0.425,0.722,0.789
sample_2718,0.181,0.368,0.348,0.427,0.73,0.791
sample_2719,0.181,0.368,0.346,0.43,0.744,0.791
sample_2720,0.181,0.369,0.357,0.42,0.724,0.787
sample_2721,0.158,0.368,0.359,0.413,0.725,0.79
sample_2722,0.158,0.369,0.345,0.421,0.725,0.796
sample_2723,0.158,0.372,0.326,0.423,0.735,0.802
sample_2724,0.158,0.37,0.345,0.414,0.754,0.798
sample_2725,0.158,0.37,0.363,0.404,0.756,0.794
sample_2726,0.158,0.376,0.364,0.4,0.725,0.793
sample_2727,0.158,0.382,0.36,0.406,0.712,0.79
sample_2728,0.158,0.385,0.348,0.421,0.737,0.793
sample_2729,0.158,0.388,0.332,0.431,0.734,0.793
sample_2730,0.158,0.385,0.335,0.434,0.729,0.789
sample_2731,0.158,0.387,0.335,0.434,0.746,0.794
sample_2732,0.158,0.392,0.334,0.434,0.758,0.793
sample_2733,0.158,0.395,0.334,0.439,0.753,0.795
sample_2734,0.158,0.394,0.318,0.444,0.724,0.8
sample_2735,0.158,0.393,0.323,0.452,0.736,0.796
sample_2736,0.158,0.393,0.328,0.457,0.752,0.793
sample_2737,0.158,0.39,0.333,0.461,0.737,0.791
sample_2738,0.158,0.388,0.334,0.465,0.733,0.793
sample_2739,0.158,0.388,0.336,0.463,0.749,0.797
sample_2740,0.158,0.387,0.351,0.458,0.773,0.797
sample_2741,0.16,0.385,0.36,0.454,0.75,0.797
sample_2742,0.16,0.384,0.352,0.456,0.763,0.799
sample_2743,0.16,0.387,0.328,0.461,0.789,0.802
sample_2744,0.16,0.388,0.326,0.469,0.719,0.798
sample_2745,0.16,0.387,0.333,0.468,0.699,0.795
sample_2746,0.16,0.387,0.321,0.469,0.724,0.797
sample_2747,0.16,0.386,0.328,0.474,0.717,0.797
sample_2748,0.16,0.387,0.337,0.468,0.747,0.8
sample_2749,0.16,0.39,0.332,0.466,0.761,0.801
sample_2750,0.16,0.39,0.343,0.471,0.712,0.797
sample_2751,0.16,0.389,0.354,0.469,0.736,0.791
sample_2752,0.16,0.39,0.357,0.459,0.752,0.792
sample_2753,0.16,0.392,0.349,0.448,0.706,0.8
sample_2754,0.16,0.394,0.327,0.449,0.706,0.803
sample_2755,0.16,0.393,0.34,0.455,0.708,0.797
sample_2756,0.16,0.392,0.343,0.458,0.704,0.799
sample_2757,0.16,0.388,0.318,0.455,0.701,0.806
sample_2758,0.16,0.382,0.322,0.453,0.74,0.806
sample_2759,0.16,0.38,0.325,0.449,0.745,0.8
sample_2760,0.16,0.384,0.343,0.439,0.739,0.791
sample_2761,0.208,0.387,0.345,0.428,0.765,0.797
sample_2762,0.208,0.391,0.343,0.424,0.731,0.801
sample_2763,0.208,0.393,0.358,0.419,0.73,0.796
sample_2764,0.208,0.394,0.34,0.419,0.744,0.801
sample_2765,0.208,0.393,0.328,0.417,0.734,0.804
sample_2766,0.208,0.387,0.347,0.414,0.719,0.796
sample_2767,0.208,0.382,0.342,0.423,0.712,0.796
sample_2768,0.208,0.383,0.338,0.42,0.735,0.796
sample_2769,0.208,0.387,0.345,0.419,0.752,0.793
sample_2770,0.208,0.391,0.326,0.417,0.753,0.801
sample_2771,0.208,0.391,0.337,0.414,0.719,0.802
sample_2772,0.208,0.392,0.36,0.423,0.732,0.791
sample_2773,0.208,0.39,0.357,0.42,0.718,0.791
sample_2774,0.208,0.385,0.351,0.419,0.704,0.79
sample_2775,0.208,0.383,0.338,0.42,0.717,0.797
sample_2776,0.208,0.381,0.315,0.418,0.736,0.807
sample_2777,0.208,0.382,0.32,0.411,0.726,0.8
sample_2778,0.208,0.386,0.351,0.401,0.742,0.79
sample_2779,0.208,0.389,0.344,0.392,0.757,0.797
sample_2780,0.208,0.391,0.323,0.384,0.729,0.805
sample_2781,0.194,0.392,0.342,0.38,0.734,0.799
sample_2782,0.194,0.394,0.361,0.382,0.745,0.792
sample_2783,0.194,0.4,0.343,0.392,0.729,0.795
sample_2784,0.194,0.405,0.341,0.397,0.744,0.793
sample_2785,0.194,0.404,0.363,0.396,0.736,0.786
sample_2786,0.194,0.405,0.341,0.394,0.742,0.793
sample_2787,0.194,0.405,0.338,0.395,0.731,0.794
sample_2788,0.194,0.405,0.348,0.397,0.712,0.792
sample_2789,0.194,0.407,0.347,0.404,0.748,0.793
sample_2790,0.194,0.406,0.362,0.409,0.735,0.786
sample_2791,0.194,0.406,0.34,0.413,0.749,0.791
sample_2792,0.194,0.402,0.34,0.414,0.768,0.794
sample_2793,0.194,0.396,0.358,0.417,0.739,0.79
sample_2794,0.194,0.396,0.354,0.42,0.76,0.79
sample_2795,0.194,0.396,0.354,0.416,0.745,0.792
sample_2796,0.194,0.399,0.348,0.41,0.708,0.796
sample_2797,0.194,0.404,0.336,0.408,0.709,0.799
sample_2798,0.194,0.406,0.344,0.407,0.726,0.794
sample_2799,0.194,0.403,0.358,0.412,0.732,0.794
sample_2800,0.194,0.399,0.357,0.419,0.728,0.794
sample_2801,0.171,0.396,0.349,0.414,0.74,0.787
sample_2802,0.171,0.397,0.334,0.409,0.719,0.794
sample_2803,0.171,0.398,0.332,0.413,0.734,0.8
sample_2804,0.171,0.399,0.333,0.415,0.732,0.798
sample_2805,0.171,0.4,0.343,0.41,0.694,0.797
sample_2806,0.171,0.399,0.339,0.414,0.708,0.798
sample_2807,0.171,0.399,0.324,0.421,0.722,0.802
sample_2808,0.171,0.401,0.314,0.418,0.744,0.806
sample_2809,0.171,0.401,0.333,0.413,0.738,0.798
sample_2810,0.171,0.399,0.351,0.415,0.746,0.789
sample_2811,0.171,0.397,0.348,0.413,0.742,0.79
sample_2812,0.171,0.393,0.353,0.405,0.729,0.787
sample_2813,0.171,0.388,0.355,0.4,0.756,0.788
sample_2814,0.171,0.388,0.342,0.4,0.754,0.792
sample_2815,0.171,0.388,0.339,0.394,0.73,0.793
sample_2816,0.171,0.383,0.348,0.39,0.707,0.792
sample_2817,0.171,0.378,0.331,0.39,0.716,0.797
sample_2818,0.171,0.374,0.326,0.382,0.72,0.8
sample_2819,0.171,0.373,0.323,0.379,0.714,0.801
sample_2820,0.171,0.374,0.322,0.372,0.749,0.802
sample_2821,0.227,0.376,0.324,0.363,0.746,0.803
sample_2822,0.227,0.379,0.322,0.36,0.759,0.806
sample_2823,0.227,0.378,0.342,0.355,0.729,0.802
sample_2824,0.227,0.379,0.345,0.355,0.72,0.802
sample_2825,0.227,0.383,0.324,0.351,0.726,0.805
sample_2826,0.227,0.383,0.34,0.357,0.714,0.795
sample_2827,0.227,0.381,0.357,0.363,0.748,0.788
sample_2828,0.227,0.383,0.339,0.359,0.73,0.791
sample_2829,0.227,0.384,0.341,0.36,0.765,0.792
sample_2830,0.227,0.384,0.346,0.371,0.747,0.791
sample_2831,0.227,0.383,0.327,0.371,0.725,0.794
sample_2832,0.227,0.382,0.327,0.37,0.747,0.795
sample_2833,0.227,0.378,0.323,0.373,0.73,0.802
sample_2834,0.227,0.375,0.346,0.366,0.751,0.798
sample_2835,0.227,0.377,0.365,0.365,0.748,0.79
sample_2836,0.227,0.382,0.35,0.368,0.747,0.792
sample_2837,0.227,0.386,0.332,0.36,0.731,0.799
sample_2838,0.227,0.392,0.328,0.359,0.71,0.806
sample_2839,0.227,0.399,0.339,0.372,0.734,0.8
sample_2840,0.227,0.4,0.336,0.386,0.733,0.793
sample_2841,0.107,0.402,0.335,0.387,0.773,0.799
sample_2842,0.107,0.401,0.355,0.39,0.763,0.789
sample_2843,0.107,0.4,0.342,0.404,0.733,0.787
sample_2844,0.107,0.399,0.338,0.414,0.742,0.791
sample_2845,0.107,0.398,0.355,0.411,0.75,0.788
sample_2846,0.107,0.399,0.355,0.415,0.73,0.787
sample_2847,0.107,0.401,0.344,0.427,0.718,0.789
sample_2848,0.107,0.404,0.333,0.429,0.75,0.792
sample_2849,0.107,0.404,0.343,0.425,0.736,0.793
sample_2850,0.107,0.405,0.354,0.43,0.71,0.791
sample_2851,0.107,0.402,0.338,0.436,0.748,0.796
sample_2852,0.107,0.396,0.339,0.433,0.817,0.797
sample_2853,0.107,0.395,0.357,0.434,0.754,0.79
sample_2854,0.107,0.4,0.354,0.439,0.729,0.789
sample_2855,0.107,0.401,0.352,0.437,0.756,0.793
sample_2856,0.107,0.399,0.347,0.434,0.721,0.795
sample_2857,0.107,0.397,0.354,0.444,0.744,0.791
sample_2858,0.107,0.395,0.355,0.452,0.75,0.789
sample_2859,0.107,0.396,0.356,0.456,0.749,0.787
sample_2860,0.107,0.4,0.35,0.461,0.747,0.786
sample_2861,0.0981,0.404,0.345,0.464,0.735,0.784
sample_2862,0.0981,0.404,0.351,0.472,0.747,0.786
sample_2863,0.0981,0.403,0.352,0.472,0.76,0.789
sample_2864,0.0981,0.41,0.352,0.468,0.773,0.787
sample_2865,0.0981,0.415,0.342,0.468,0.726,0.796
sample_2866,0.0981,0.419,0.338,0.472,0.707,0.8
sample_2867,0.0981,0.426,0.344,0.487,0.722,0.79
sample_2868,0.0981,0.434,0.335,0.507,0.736,0.789
sample_2869,0.0981,0.495,0.39,0.527,0.762,0.785
sample_2870,0.0981,0.61,0.503,0.564,0.757,0.762
sample_2871,0.0981,0.717,0.589,0.615,0.702,0.75
sample_2872,0.0981,0.771,0.649,0.664,0.698,0.758
sample_2873,0.0981,0.753,0.668,0.69,0.738,0.774
sample_2874,0.0981,0.732,0.686,0.694,0.745,0.78
sample_2875,0.0981,0.715,0.738,0.677,0.745,0.774
sample_2876,0.0981,0.703,0.793,0.658,0.74,0.779
sample_2877,0.0981,0.694,0.834,0.625,0.742,0.792
sample_2878,0.0981,0.685,0.852,0.559,0.76,0.803
sample_2879,0.0981,0.684,0.838,0.514,0.728,0.809
sample_2880,0.0981,0.688,0.858,0.487,0.678,0.801
sample_2881,0.487,0.69,0.861,0.469,0.689,0.798
sample_2882,0.487,0.691,0.851,0.457,0.746,0.802
sample_2883,0.487,0.687,0.861,0.441,0.771,0.8
sample_2884,0.487,0.683,0.85,0.423,0.763,0.798
sample_2885,0.487,0.681,0.851,0.405,0.742,0.79
sample_2886,0.487,0.682,0.858,0.389,0.686,0.792
sample_2887,0.487,0.682,0.847,0.373,0.705,0.799
sample_2888,0.487,0.682,0.851,0.359,0.754,0.804
sample_2889,0.487,0.679,0.865,0.355,0.764,0.798
sample_2890,0.487,0.673,0.854,0.346,0.768,0.793
sample_2891,0.487,0.666,0.834,0.324,0.707,0.8
sample_2892,0.487,0.66,0.846,0.305,0.677,0.803
sample_2893,0.487,0.608,0.792,0.286,0.71,0.804
sample_2894,0.487,0.554,0.716,0.27,0.744,0.809
sample_2895,0.487,0.557,0.715,0.251,0.775,0.802
sample_2896,0.487,0.557,0.702,0.238,0.779,0.8
sample_2897,0.487,0.556,0.677,0.233,0.747,0.804
sample_2898,0.487,0.56,0.692,0.22,0.699,0.797
sample_2899,0.487,0.566,0.694,0.215,0.708,0.798
sample_2900,0.487,0.568,0.667,0.214,0.72,0.804
sample_2901,0.289,0.566,0.678,0.206,0.729,0.798
sample_2902,0.289,0.563,0.691,0.209,0.752,0.789
sample_2903,0.289,0.561,0.694,0.213,0.767,0.79
sample_2904,0.289,0.559,0.683,0.208,0.732,0.796
sample_2905,0.289,0.562,0.682,0.21,0.687,0.798
sample_2906,0.289,0.57,0.689,0.217,0.719,0.799
sample_2907,0.289,0.578,0.668,0.216,0.768,0.806
sample_2908,0.289,0.586,0.681,0.209,0.782,0.803
sample_2909,0.289,0.593,0.699,0.209,0.73,0.792
sample_2910,0.289,0.597,0.69,0.209,0.698,0.792
sample_2911,0.289,0.598,0.676,0.208,0.729,0.797
sample_2912,0.289,0.595,0.677,0.209,0.756,0.799
sample_2913,0.289,0.591,0.678,0.21,0.793,0.798
sample_2914,0.289,0.588,0.68,0.217,0.793,0.794
sample_2915,0.289,0.588,0.693,0.216,0.746,0.786
sample_2916,0.289,0.591,0.697,0.209,0.702,0.785
sample_2917,0.289,0.593,0.697,0.208,0.71,0.789
sample_2918,0.289,0.594,0.696,0.216,0.722,0.79
sample_2919,0.289,0.6,0.69,0.214,0.758,0.795
sample_2920,0.289,0.604,0.67,0.219,0.767,0.797
sample_2921,0.173,0.602,0.67,0.226,0.734,0.794
sample_2922,0.173,0.598,0.688,0.221,0.732,0.791
sample_2923,0.173,0.596,0.687,0.215,0.758,0.799
sample_2924,0.173,0.597,0.678,0.203,0.774,0.803
sample_2925,0.173,0.597,0.687,0.195,0.753,0.795
sample_2926,0.173,0.6,0.689,0.201,0.755,0.79
sample_2927,0.173,0.6,0.681,0.205,0.775,0.789
sample_2928,0.173,0.6,0.681,0.202,0.745,0.794
sample_2929,0.173,0.605,0.674,0.201,0.718,0.799
sample_2930,0.173,0.607,0.664,0.207,0.726,0.798
sample_2931,0.173,0.606,0.662,0.217,0.741,0.795
sample_2932,0.173,0.605,0.682,0.223,0.743,0.792
sample_2933,0.173,0.603,0.676,0.235,0.73,0.795
sample_2934,0.173,0.6,0.667,0.236,0.718,0.799
sample_2935,0.173,0.6,0.681,0.233,0.719,0.797
sample_2936,0.173,0.6,0.693,0.234,0.736,0.797
sample_2937,0.173,0.605,0.693,0.226,0.782,0.796
sample_2938,0.173,0.611,0.689,0.221,0.782,0.795
sample_2939,0.173,0.613,0.694,0.217,0.734,0.791
sample_2940,0.173,0.614,0.687,0.213,0.759,0.789
sample_2941,0.145,0.616,0.689,0.227,0.749,0.784
sample_2942,0.145,0.615,0.701,0.249,0.704,0.781
sample_2943,0.145,0.611,0.701,0.259,0.731,0.786
sample_2944,0.145,0.609,0.681,0.265,0.751,0.793
sample_2945,0.145,0.609,0.67,0.274,0.744,0.796
sample_2946,0.145,0.609,0.679,0.28,0.759,0.798
sample_2947,0.145,0.61,0.677,0.285,0.752,0.799
sample_2948,0.145,0.607,0.686,0.278,0.726,0.796
sample_2949,0.145,0.603,0.696,0.275,0.707,0.793
sample_2950,0.145,0.601,0.698,0.277,0.734,0.791
sample_2951,0.145,0.601,0.702,0.271,0.737,0.791
sample_2952,0.145,0.603,0.703,0.26,0.702,0.791
sample_2953,0.145,0.605,0.686,0.264,0.723,0.794
sample_2954,0.145,0.61,0.667,0.268,0.723,0.798
sample_2955,0.145,0.611,0.679,0.269,0.722,0.794
sample_2956,0.145,0.612,0.699,0.273,0.729,0.793
sample_2957,0.145,0.614,0.689,0.274,0.716,0.798
sample_2958,0.145,0.616,0.681,0.288,0.721,0.796
sample_2959,0.145,0.614,0.698,0.291,0.757,0.789
sample_2960,0.145,0.61,0.694,0.284,0.746,0.792
sample_2961,0.17,0.607,0.679,0.284,0.704,0.802
sample_2962,0.17,0.604,0.672,0.287,0.7,0.811
sample_2963,0.17,0.6,0.686,0.273,0.737,0.807
sample_2964,0.17,0.598,0.695,0.262,0.778,0.794
sample_2965,0.17,0.601,0.678,0.259,0.764,0.799
